GestureName,PosX_0,PosY_0,PosZ_0,RotX_0,RotY_0,RotZ_0,PosX_1,PosY_1,PosZ_1,RotX_1,RotY_1,RotZ_1,PosX_2,PosY_2,PosZ_2,RotX_2,RotY_2,RotZ_2,PosX_3,PosY_3,PosZ_3,RotX_3,RotY_3,RotZ_3,PosX_4,PosY_4,PosZ_4,RotX_4,RotY_4,RotZ_4,PosX_5,PosY_5,PosZ_5,RotX_5,RotY_5,RotZ_5,PosX_6,PosY_6,PosZ_6,RotX_6,RotY_6,RotZ_6,PosX_7,PosY_7,PosZ_7,RotX_7,RotY_7,RotZ_7,PosX_8,PosY_8,PosZ_8,RotX_8,RotY_8,RotZ_8,PosX_9,PosY_9,PosZ_9,RotX_9,RotY_9,RotZ_9,PosX_10,PosY_10,PosZ_10,RotX_10,RotY_10,RotZ_10,PosX_11,PosY_11,PosZ_11,RotX_11,RotY_11,RotZ_11,PosX_12,PosY_12,PosZ_12,RotX_12,RotY_12,RotZ_12,PosX_13,PosY_13,PosZ_13,RotX_13,RotY_13,RotZ_13,PosX_14,PosY_14,PosZ_14,RotX_14,RotY_14,RotZ_14,PosX_15,PosY_15,PosZ_15,RotX_15,RotY_15,RotZ_15,PosX_16,PosY_16,PosZ_16,RotX_16,RotY_16,RotZ_16,PosX_17,PosY_17,PosZ_17,RotX_17,RotY_17,RotZ_17,PosX_18,PosY_18,PosZ_18,RotX_18,RotY_18,RotZ_18,PosX_19,PosY_19,PosZ_19,RotX_19,RotY_19,RotZ_19,PosX_20,PosY_20,PosZ_20,RotX_20,RotY_20,RotZ_20,PosX_21,PosY_21,PosZ_21,RotX_21,RotY_21,RotZ_21,PosX_22,PosY_22,PosZ_22,RotX_22,RotY_22,RotZ_22,PosX_23,PosY_23,PosZ_23,RotX_23,RotY_23,RotZ_23
Rock,0,0,0,0,180,0,0,0,0,0,180,0,-0.020069,-0.01155397,-0.010497,39.08743,118.1334,322.1705,-0.03779999,-0.0233849,-0.02327525,46.38321,68.11284,269.114,-0.05982652,-0.04581065,-0.0315823,53.13551,79.72082,238.5057,-0.08566046,-0.06309759,-0.01832548,44.95514,76.41405,194.0976,-0.09599622,-0.007316488,-0.02355067,5.057745,180.1406,292.8659,-0.1107262,-0.0421272,-0.02043362,4.560653,183.0382,183.1332,-0.08648741,-0.04345137,-0.02161433,5.383368,180.9939,107.5378,-0.09564659,-0.002543147,-0.001725905,359.6086,187.2836,284.9269,-0.1066507,-0.04402064,-0.0006051142,359.8651,188.8065,184.5526,-0.0795126,-0.04620733,-0.004814691,10.23479,186.1175,117.1549,-0.08869378,-0.006529354,0.01746524,354.9288,191.3121,277.7946,-0.09454966,-0.04501379,0.01515385,355.9361,196.6202,183.9142,-0.06918265,-0.04682327,0.007447707,0.3877212,197.7072,118.0758,-0.03407354,-0.009419811,0.02299857,336.6904,197.7052,354.1525,-0.07789582,-0.01369118,0.03505405,343.8929,190.552,275.1972,-0.08218592,-0.04308424,0.02721933,350.5659,198.2857,188.6421,-0.06327613,-0.046095,0.02044388,352.0847,202.9636,128.7066,-0.09646296,-0.06756747,0.003343284,44.95514,76.41405,194.0976,-0.07880139,-0.02250138,-0.02342522,5.383368,180.9939,107.5378,-0.0675558,-0.02480357,-0.009667439,10.23479,186.1175,117.1549,-0.05688868,-0.02611531,0.003646143,0.3877212,197.7072,118.0758,-0.04899698,-0.02986993,0.01657313,352.0847,202.9636,128.7066
Papper,2.148547E-08,3.398276E-10,3.866831E-08,-125.74,307.6199,-128.5129,2.148547E-08,3.398276E-10,3.866831E-08,-125.74,307.6199,-128.5129,-0.02006898,-0.01155401,-0.010497,-174.4553,10.61496,-144.239,-0.03351453,-0.01409386,-0.03124335,-135.5446,352.2,-201.7398,-0.05899795,-0.01231882,-0.05135635,-137.8095,342.3583,-192.3263,-0.08554386,-0.005431149,-0.07110084,-162.9179,355.0408,-189.9262,-0.09599624,-0.007316452,-0.02355069,-119.6067,294.9963,-145.6946,-0.1331382,-0.009833012,-0.01629688,-123.6405,295.0935,-133.1509,-0.1568945,-0.0110259,-0.01130864,-130.3784,293.7447,-121.3803,-0.09564663,-0.002543132,-0.001725943,-123.3363,296.6952,-127.2578,-0.1376758,-0.006347232,0.006135296,-126.3537,297.0412,-120.882,-0.164661,-0.007923051,0.01145469,-137.4108,300.6736,-99.34181,-0.08869381,-0.006529301,0.01746516,-130.1809,301.6609,-107.0988,-0.127211,-0.008013869,0.02337381,-132.5087,303.886,-94.05594,-0.1534238,-0.009497577,0.02747667,-131.7383,306.9305,-96.72596,-0.03407355,-0.009419826,0.02299858,-143.6442,313.34,-44.22308,-0.07789583,-0.01369116,0.03505404,-142.4138,306.3525,-76.55201,-0.1078291,-0.01164817,0.04165467,-141.758,308.1991,-56.04836,-0.1273991,-0.01325382,0.04684973,-139.6629,310.8994,-68.70621,-0.09419291,0.002224775,-0.09284461,-162.9179,355.0408,-189.9262,-0.1783868,-0.009325914,-0.005271429,-130.3784,293.7447,-121.3803,-0.1888373,-0.004963103,0.01705651,-137.4108,300.6736,-99.34181,-0.1776222,-0.008967017,0.03040435,-131.7383,306.9305,-96.72596,-0.1489832,-0.01248615,0.050808,-139.6629,310.8994,-68.70621
thumbs up ,0,0,0,0,180,0,0,0,0,0,180,0,-0.020069,-0.01155396,-0.010497,39.05331,120.0829,4.370675,-0.03145804,-0.01008338,-0.03253719,59.59881,127.8836,357.6171,-0.05232587,-0.01076747,-0.05746017,48.8464,140.6519,19.24603,-0.07168014,-0.003437096,-0.08417437,61.31237,135.127,33.44841,-0.09599622,-0.007316452,-0.02355067,5.326522,184.2981,289.3892,-0.1083031,-0.04293822,-0.01929519,5.012068,187.2224,183.1992,-0.08421498,-0.0442893,-0.02222832,5.824034,185.2208,105.4641,-0.09564659,-0.00254314,-0.001725905,359.8166,191.7188,281.0802,-0.1037518,-0.04466974,-0.0001823449,0.1760486,193.2211,179.9847,-0.07693248,-0.04466231,-0.006483209,10.52631,189.0221,105.1029,-0.08869377,-0.006529255,0.01746524,355.0848,193.7654,277.1957,-0.09422687,-0.0450759,0.01540781,356.2736,199.0625,177.632,-0.06910885,-0.04398034,0.006803809,1.08489,198.6587,98.23491,-0.03407355,-0.009419809,0.02299857,336.6904,197.7052,354.1525,-0.07789581,-0.01369117,0.03505405,344.1192,192.4658,279.9974,-0.08489022,-0.04279041,0.02812184,350.6378,200.8088,182.3,-0.06596617,-0.04359471,0.02078809,352.948,204.6508,107.2902,-0.0771272,0.004068693,-0.1069823,61.31237,135.127,33.44841,-0.07746273,-0.0230888,-0.02471838,5.824034,185.2208,105.4641,-0.07005826,-0.02120038,-0.01167101,10.52631,189.0221,105.1029,-0.06436172,-0.02013478,0.004996443,1.08489,198.6587,98.23491,-0.05803777,-0.02314967,0.01965919,352.948,204.6508,107.2902
scissors,-1.476421E-08,4.917461E-11,-2.57545E-08,-110.0641,311.7996,-131.1534,-1.476421E-08,4.917461E-11,-2.57545E-08,-110.0641,311.7996,-131.1534,-0.02006904,-0.01155399,-0.01049704,-145.1101,10.75374,-156.8328,-0.03816728,-0.0243282,-0.02176264,-145.7379,37.38089,-185.8173,-0.06286117,-0.04427665,-0.02878838,-414.6448,88.5383,-32.59296,-0.08826312,-0.05697794,-0.01047474,-369.8119,84.54718,-50.49271,-0.09599622,-0.007316465,-0.02355066,-104.3493,322.1614,-139.0426,-0.1330683,-0.009772342,-0.03117367,-105.458,321.7828,-133.3739,-0.1569014,-0.01119046,-0.03571646,-113.6198,320.8752,-125.1246,-0.09564656,-0.002543156,-0.001725852,-102.7285,302.1638,-133.5616,-0.1374229,-0.01054416,0.00405784,-105.8154,302.543,-128.01,-0.1643803,-0.01456638,0.008070097,-115.8159,306.12,-108.6412,-0.08869378,-0.006529306,0.01746522,-76.81297,291.9138,-128.9104,-0.1141143,-0.03581262,0.02158542,-310.895,343.231,24.88593,-0.09520168,-0.05217129,0.01259379,-263.4817,328.0635,-1.523346,-0.03407357,-0.009419827,0.02299853,-126.28,318.7314,-47.95534,-0.07789584,-0.01369118,0.03505407,-69.61211,297.6868,-94.50742,-0.09038977,-0.04147886,0.03111835,-302.0486,343.8446,64.96478,-0.07293031,-0.04527937,0.02146049,-258.4627,335.334,71.42976,-0.09522761,-0.05734838,0.01313819,-369.8119,84.54718,-50.49271,-0.1789452,-0.008238189,-0.03828791,-113.6198,320.8752,-125.1246,-0.188955,-0.01382387,0.01256082,-115.8159,306.12,-108.6412,-0.07332163,-0.04585597,0.003887812,-263.4817,328.0635,-1.523346,-0.05951018,-0.0288276,0.01585977,-258.4627,335.334,71.42976
thumbs down,4.147018E-09,1.411472E-09,2.929484E-08,39.78935,-293.2548,130.1548,4.147018E-09,1.411472E-09,2.929484E-08,39.78935,-293.2548,130.1548,-0.02006899,-0.011554,-0.01049701,-22.84898,-241.4583,77.40575,-0.03444968,-0.01598476,-0.03027594,306.5264,-293.3059,15.74269,-0.05459298,-0.03056578,-0.05122186,-32.37512,-233.6804,63.28279,-0.07471807,-0.03853181,-0.07717363,302.5643,-318.955,14.16248,-0.09599621,-0.007316448,-0.02355071,54.92177,-200.1936,85.06916,-0.11514,-0.03988505,-0.02019191,77.00731,-102.9631,75.62714,-0.09264995,-0.04903995,-0.02121757,86.81091,-36.15121,62.94739,-0.09564657,-0.00254314,-0.001725846,55.52396,-279.9026,187.0435,-0.1096855,-0.04308052,-0.0001902973,71.67058,-217.5722,210.2013,-0.08391587,-0.05192577,-0.004272626,70.43698,-303.1114,367.601,-0.08869377,-0.006529303,0.01746527,49.80103,-303.5474,221.2488,-0.09862695,-0.04420813,0.01593727,63.6851,-238.3225,244.5605,-0.07370909,-0.04930985,0.008242019,75.71861,-197.3364,265.632,-0.03407353,-0.009419843,0.02299863,87.07703,-17.51747,201.9256,-0.07789581,-0.01369118,0.03505401,38.29316,-302.8552,215.0295,-0.09098526,-0.04101739,0.02998605,54.85674,-238.2422,242.0668,-0.07316181,-0.04630927,0.02180854,63.45126,-186.9127,249.1868,-0.08262319,-0.04312497,-0.1000346,302.5643,-318.955,14.16248,-0.07450591,-0.03604656,-0.02301319,86.81091,-36.15121,62.94739,-0.06389976,-0.03799674,-0.009747243,70.43698,-303.1114,367.601,-0.05870591,-0.03060818,0.003818768,75.71861,-197.3364,265.632,-0.05786068,-0.03134434,0.01690392,63.45126,-186.9127,249.1868
Spider-man,0,0,0,0,180,0,0,0,0,0,180,0,-0.02006899,-0.01155404,-0.010497,38.73025,117.4019,342.7216,-0.0350912,-0.01731255,-0.02943944,51.3031,77.02377,295.8432,-0.05416297,-0.03560665,-0.04837826,52.48605,97.62331,316.5531,-0.07568795,-0.04975808,-0.07025025,53.59937,76.91075,311.7234,-0.09599621,-0.007316487,-0.02355068,3.508238,170.9383,336.2962,-0.1304373,-0.02253501,-0.02809884,1.130467,172.8827,334.6844,-0.1522631,-0.03292527,-0.03061746,0.4777547,176.4655,345.9182,-0.09564658,-0.002543109,-0.001725911,359.6838,188.8097,280.7817,-0.1036177,-0.04471164,-0.0007260324,0.06820943,190.3087,171.4531,-0.07681475,-0.04061726,-0.005606123,9.47439,185.6199,107.0789,-0.08869377,-0.006529292,0.01746523,355.2373,195.9534,272.8707,-0.09146037,-0.04534199,0.01489283,356.9205,201.1278,168.7575,-0.06704861,-0.04016867,0.005757873,1.413295,201.3391,107.3717,-0.03407354,-0.00941987,0.02299857,336.6904,197.7052,354.1525,-0.07789581,-0.01369121,0.03505405,347.755,211.7016,317.197,-0.09939866,-0.03409013,0.04313175,347.9019,218.421,316.4673,-0.1127576,-0.04776924,0.0499854,344.196,214.0426,319.8522,-0.08604846,-0.05970454,-0.09024868,53.59937,76.91075,311.7234,-0.1741826,-0.03736951,-0.03163804,0.4777547,176.4655,345.9182,-0.06878565,-0.01735749,-0.009982182,9.47439,185.6199,107.0789,-0.05896414,-0.01743273,0.002274269,1.413295,201.3391,107.3717,-0.1294386,-0.06040811,0.05662855,344.196,214.0426,319.8522
ok,0,0,0,-125.3963,360.2018,164.5123,0,0,0,-125.3963,360.2018,164.5123,-0.02006898,-0.01155401,-0.010497,-237.8443,77.96169,103.4308,-0.03644691,-0.02022768,-0.02705521,-303.7547,86.14334,135.9755,-0.05415909,-0.0439224,-0.04054322,-281.2133,90.65436,98.55064,-0.07889548,-0.06686357,-0.04248954,-288.7085,107.4668,59.68925,-0.09599617,-0.007316467,-0.02355067,-194.5234,42.61035,17.99279,-0.1183709,-0.03793968,-0.02381932,-220.6827,-35.23373,299.6031,-0.1061395,-0.05883734,-0.02173416,-220.9235,-26.54234,272.9349,-0.09564662,-0.002543145,-0.001725912,-123.6306,363.0482,147.6437,-0.1366562,-0.01520617,-0.000961701,-122.6364,362.858,143.5592,-0.1623335,-0.02516802,-0.0003184253,-120.837,357.2593,153.1013,-0.08869376,-0.006529312,0.01746524,-123.1853,350.7584,165.92,-0.1273307,-0.004648842,0.02239916,-119.1807,350.1033,161.7184,-0.1536999,-0.005645015,0.02553324,-117.7248,352.1297,165.3986,-0.03407355,-0.009419833,0.02299858,-109.6813,335.3986,161.8126,-0.07789577,-0.01369118,0.03505405,-121.7761,337.467,177.2469,-0.1061633,-0.006165994,0.0444383,-117.1053,332.7011,174.2569,-0.1247733,-0.002979393,0.05192567,-116.8023,337.3065,178.7727,-0.09327988,-0.07676089,-0.02513033,-288.7085,107.4668,59.68925,-0.08776513,-0.07124902,-0.01863646,-220.9235,-26.54234,272.9349,-0.186995,-0.02890457,0.001258986,-120.837,357.2593,153.1013,-0.1778962,-0.003636355,0.02774897,-117.7248,352.1297,165.3986,-0.1447562,0.003486263,0.05832965,-116.8023,337.3065,178.7727
Peace Sign,-5.920984E-08,5.369649E-09,5.145464E-09,-266.5724,-59.60294,38.60465,-5.920984E-08,5.369649E-09,5.145464E-09,-266.5724,-59.60294,38.60465,-0.02006895,-0.011554,-0.010497,-324.4797,-61.50735,89.49704,-0.03833533,-0.02478373,-0.02093529,-22.71987,-112.6083,55.92777,-0.06262539,-0.04565696,-0.02653815,-7.399607,-72.83959,46.09376,-0.08993377,-0.06078373,-0.01359966,-12.52736,-47.06657,50.82783,-0.09599623,-0.00731647,-0.02355067,-263.7914,-48.10367,59.92557,-0.1306295,-0.01340806,-0.03776014,-261.384,-53.7644,58.82404,-0.1532355,-0.01451713,-0.04661492,-260.666,-63.24875,56.63477,-0.09564655,-0.002543158,-0.001725915,-231.7253,-5.841034,384.8274,-0.1374326,-0.01047065,0.004088703,-231.3034,-13.37558,384.8868,-0.1646228,-0.01205751,0.008230757,-228.0131,-22.78891,385.0068,-0.08869375,-0.006529296,0.01746523,-225.2609,34.57184,372.3975,-0.1118609,-0.03774119,0.02059464,-245.8638,-238.9053,403.2892,-0.09382477,-0.05527287,0.01202255,-244.2595,-180.9975,392.2537,-0.0340736,-0.009419811,0.02299857,-211.2963,-19.22934,373.7416,-0.07789579,-0.01369119,0.03505405,-214.1155,52.08926,364.4376,-0.087635,-0.04240512,0.03011455,-242.3508,-223.9847,393.186,-0.07165687,-0.05028078,0.02035616,-238.7928,-170.1728,381.1105,-0.1044737,-0.06756819,0.005075701,-12.52736,-47.06657,50.82783,-0.1743353,-0.01077119,-0.05309741,-260.666,-63.24875,56.63477,-0.1889488,-0.008615096,0.01281643,-228.0131,-22.78891,385.0068,-0.07172094,-0.0498317,0.00329177,-244.2595,-180.9975,392.2537,-0.05462229,-0.03960817,0.01152188,-238.7928,-170.1728,381.1105
pistol,0,0,0,0,180,0,0,0,0,0,180,0,-0.020069,-0.01155404,-0.010497,39.00048,119.1372,359.1647,-0.03236806,-0.01183577,-0.0320909,61.93544,130.1264,355.7109,-0.05490381,-0.01297975,-0.0554986,50.95769,143.8847,24.42859,-0.07336132,-0.00417666,-0.0824021,63.88063,140.8859,43.91058,-0.09599621,-0.007316483,-0.02355067,4.256106,195.9589,355.5311,-0.1322906,-0.01026348,-0.01294346,1.37608,197.0114,351.5395,-0.1552528,-0.01383818,-0.00582841,359.8956,200.2461,354.103,-0.09564659,-0.002543107,-0.001725905,359.9029,193.7077,284.8328,-0.1063395,-0.04403965,0.0008098626,0.1664196,195.2304,182.2016,-0.07977641,-0.04509793,-0.006419152,10.54295,191.8099,111.3903,-0.08869378,-0.006529322,0.01746524,355.2053,195.4607,270.933,-0.09017457,-0.04538372,0.01449337,356.9474,200.5964,172.0501,-0.06546994,-0.04171368,0.005418359,1.575735,200.5647,103.7822,-0.03407355,-0.009419829,0.02299857,336.6904,197.7052,354.1525,-0.07789582,-0.01369123,0.03505404,344.3649,195.9348,264.937,-0.07755309,-0.04315941,0.02637948,352.4785,202.3152,173.7392,-0.05876487,-0.04096346,0.01898146,355.2117,206.207,109.0152,-0.07666087,0.00425913,-0.1052967,63.88063,140.8859,43.91058,-0.1761207,-0.0151167,0.002181154,359.8956,200.2461,354.103,-0.07062028,-0.02259646,-0.01229129,10.54295,191.8099,111.3903,-0.05871557,-0.01847283,0.002477029,1.575735,200.5647,103.7822,-0.05068389,-0.02068391,0.01662159,355.2117,206.207,109.0152
one,0,0,0,0,180,0,0,0,0,0,180,0,-0.020069,-0.01155405,-0.010497,39.7465,119.2678,314.5633,-0.03847126,-0.02516839,-0.02017417,47.60601,64.83662,258.8723,-0.06246364,-0.04667732,-0.02451262,55.55991,74.51049,225.2436,-0.08788966,-0.06024844,-0.006868586,46.14302,73.68249,194.3814,-0.0959962,-0.00731648,-0.02355067,3.803864,177.5031,340.2537,-0.1316964,-0.02010214,-0.02425653,1.275603,179.2851,350.0255,-0.155632,-0.02431078,-0.02446147,359.642,182.5651,3.925118,-0.09564658,-0.002543209,-0.001725905,359.6913,191.9079,324.5723,-0.1299005,-0.02742646,0.005360412,358.9043,193.088,306.4035,-0.1459216,-0.04959592,0.008649768,355.6156,197.7498,298.9914,-0.08869376,-0.006529291,0.01746524,354.9195,191.3266,282.735,-0.09778424,-0.0444166,0.01585081,355.6116,196.7178,182.3635,-0.07237981,-0.04550933,0.00813297,359.9798,197.8925,119.6202,-0.03407354,-0.009419877,0.02299857,336.6904,197.7052,354.1525,-0.07789581,-0.01369121,0.03505405,344.1863,194.1712,261.2675,-0.07539949,-0.04290619,0.02588942,352.1059,200.0518,182.8901,-0.05639185,-0.04392066,0.018802,353.9355,204.7304,128.2999,-0.0998714,-0.06468621,0.01417788,46.14302,73.68249,194.3814,-0.1778365,-0.02175915,-0.02315485,359.642,182.5651,3.925118,-0.1587952,-0.07084253,0.01138517,355.6156,197.7498,298.9914,-0.05952634,-0.02515698,0.00426184,359.9798,197.8925,119.6202,-0.04255962,-0.02753618,0.01407459,353.9355,204.7304,128.2999
